Compound,Phototoxicity at 20 uM,Binary_PIF<2,SMILES
EBC-12812,No phototoxicity,1,CC(C)N(CCC(C(=O)N)(C=1C=CC=CC1)C=2C=CC=CN2)C(C)C
EBC-249086,Photoxicity,1,Cl.CC=1C=CC(C)=C(SC=2C=CC=CC2N3CCNCC3)C1
EBC-158031,No phototoxicity,1,CC(C)C(C(=O)NC1=NC=C(C)S1)C=2C=CC(Cl)=CC2
EBC-43031,No phototoxicity,1,ClC=1C=CC(=CC1Cl)C2=C3C(ON2)C=CS3(=O)=O
EBC-08239,No phototoxicity,1,COC=1C(F)=C(F)C=CC1C2=CSC(=N2)N3CCOCC3
EBC-03750,No phototoxicity,1,CCOC(=O)C1=C(N)SC=2CN(CC=3C=CC=CC3)CCC12
EBC-07819,No phototoxicity,1,O[C@H]([C@@H](O)C(=O)O)C(=O)O.C1[C@H]2CNC[C@@H]1C=3C=C4N=CC=NC4=CC23
EBC-08248,No phototoxicity,1,OC(=O)C=1C=CC=C(C1)S(=O)(=O)N2CCCC=3C=CC=CC23
EBC-08602,No phototoxicity,1,ClC=1C=CC(CN2CCC3(CC2)NC(=O)NC3=O)=CC1Cl
EBC-03764,No phototoxicity,1,OC(=O)[C@@H]1CSCN1C(=O)OCC2C=3C=CC=CC3C=4C=CC=CC24
EBC-08644,No phototoxicity,1,CC1=CC(C(=O)NCC2=C(C)C=C(C)NC2=O)=C(C)N1C3CCCCC3
EBC-03885,No phototoxicity,1,Cl.COC=1C=C2CC(CC3CCNCC3)C(=O)C2=CC1OC
EBC-09073,No phototoxicity,1,CC1CCN(CC1)S(=O)(=O)C=2C=CC(NC(=O)C=3C=CC=CN3)=CC2
EBC-13800,No phototoxicity,1,OCCN1CCN(CCCN2C=3C=CC=CC3C=CC=4C=CC=CC24)CC1
EBC-384066,No phototoxicity,1,CN1CCN(C=N1)C=2C=CC(=CC2F)N3C[C@H](CO)OC3=O
EBC-04247,Photoxicity,0,O=C1CC2(CCN(CC=3C=CC=CC3)CC2)OC=4C=CC=CC14
EBC-605083,No phototoxicity,1,CN1CC=2C=C(NS(=O)(=O)C=3C=CC=CC3F)C=CC2NC1=O
EBC-08057,No phototoxicity,1,CC[C@@H](NC(=O)C=1C=C(C(=O)N2CCC[C@@H]2C)N3CCOCC13)C=4C=CC=CC4
EBC-181026,No phototoxicity,1,Cl.Cl.FC(F)(F)C=1C=CN=C(C1)N2CCNCC2
EBC-00592,No phototoxicity,1,Cl.COC=1C=CC(=CC1)C(CN(C)C)C2(O)CCCCC2
EBC-14016,No phototoxicity,1,CCC=1C=CC(CCOC=2C=CC(CC3SC(=O)NC3=O)=CC2)=NC1
EBC-08533,No phototoxicity,1,FC(F)(F)OC=1C=CC(NC(=O)NC2CCN(CC2)C(=O)C3CC3)=CC1
EBC-08476,No phototoxicity,1,COC=1C=C(C=C2SC(=O)N(C)C2=O)C(Br)=CC1O
EBC-09139,No phototoxicity,1,CCC(C)(NC(=O)C=1C=C(F)C=NC1NC2CC(F)(F)C2)C#C
EBC-06973,No phototoxicity,1,CC(=O)N1CCC(CC1)NC(=O)NC=2C=CC(OC(F)(F)F)=CC2
EBC-14023,No phototoxicity,1,FC(F)OC=1C=CC=CC1NS(=O)(=O)C=2C=CC=CC2C(F)(F)F
EBC-07610,No photoxicity,1,COC(=O)C1=C(C)NC(=C(C1C=2SC=CC2C)C(=O)OC)C
EBC-08698,No photoxicity,1,CC(C)COC=1C=CC(=CC1C#N)C2=NC(C)=C(S2)C(=O)O
EBC-13453,No phototoxicity,1,CCOC=1C=CC(F)=CC1C2(O)C(=NC=3C=CC(Cl)=CC32)N
EBC-426053,No phototoxicity,1,CC1CCC2=NNC(C(=O)N[C@H]3COC=4C=CC=CC4N(C)C3=O)=C2C1
EBC-07227,Photoxicity,0,CC1=CC=C(S1)C(=O)NC=2SC=3CCCCC3C2C(=O)N
EBC-13717,No phototoxicity,1,ClC=1C=C(C=NC1Cl)C(=O)NCCN2CCOCC2
EBC-303143,No phototoxicity,1,CC(C)(C)C=1C=C(C=CC1O)C(=O)N2CCC=3C=CC=CC3C2
EBC-13965,No phototoxicity,1,COC=1C=CC(NC(=O)C=2C=C(OC)C=C(OC)C2)=C(OC)C1
EBC-08958,No phototoxicity,1,ClC=1C=CC(=CC1)N2CCN(CC=3C=CC=4OCC(=O)NC4C3)CC2
EBC-08628,No phototoxicity,1,NC(=O)C=1C=CC=CC1OCC(=O)N2CCC=3C=CC=CC3C2
EBC-426075,No phototoxicity,1,C[C@@H]1N(CCCNC1=O)C(=O)C[C@H](N)CC=2C=C(F)C(F)=CC2F
EBC-06811,No phototoxicity,1,BrC=1C=CC=CC1CN2C(=O)C=3C=CC=CC3S2(=O)=O
EBC-09144,Photoxicity,0,CNC(=O)C=1C=CC=2C(=O)C=3C=CC=CC3S(=O)(=O)C2C1
EBC-08965,No phototoxicity,1,COC=1C=CC(=CC1C)S(=O)(=O)NCCCN2C=CN=C2
EBC-426060,No phototoxicity,1,CC(NC(=O)C1=CC=C(C#N)N1C)C=2C(F)=CC=CC2Cl
EBC-09171,Photoxicity,0,CCN1C(=O)C=2C=CC=C3C(=CC=C1C23)S(=O)(=O)NC4CCCC4
EBC-08883,No phototoxicity,1,CC=1C=CC(=CC1)C2(CC3CC4CC(C3)(C2)C(=O)N5CCN(CCO)CC5)C4
EBC-06751,No phototoxicity,1,CC=1C=CC(NS(=O)(=O)C=2C=CC(Cl)=CC2)=C(C1)C(=O)O
EBC-08443,No phototoxicity,1,O=S(=O)(CC=1C=CC=CC1)N2CCN(CC=3C=CC=CC3)CC2
EBC-08697,No phototoxicity,1,CC(N(C)CC1=NC=CN1CC(F)(F)F)C=2C=CC=C(O)C2
EBC-384083,No phototoxicity,1,CC(C)(NC(=O)O[C@@H]1CN2CCC1CC2)C3=CSC(=N3)C=4C=CC(F)=CC4
EBC-06051,Photoxicity,0,COC=1C=CC(=CC1OC2CCCC2)C(=O)NC=3C(Cl)=CN=CC3Cl
EBC-08975,No phototoxicity,1,COC=1C=CC=2N(CCCC2C1)C(=O)C=3C=CC(=CC3)S(=O)(=O)N
EBC-551169,No phototoxicity,1,CC1=C2C(C3=C(CC(C)(C)CC3=O)N=C2NN1)C=4C=CSC4
